pair_key,Drug_ID,Drug_Name,Food_Herb_ID,Food_Herb_Name,Type,paper_label,drug_item_text,prediction,Effect,effect_clean,ddid_effects_all,Result,Conclusion,PMID,Reference,DOI,Relationship_classification,relationship_sources,evidence_row_count,n_effects,has_effect_conflict,has_label_conflict,model_name,prob_avoid,prob_no_known_interaction_in_selected_source,prob_use_caution
D00648__F00104,D00648,Methotrimeprazine,F00104,Meal,Food,Use caution,methotrimeprazine [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Food reduces irritation.,Take with food,,https://go.drugbank.com/drugs/DB01403,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode,,,
D01290__F00105,D01290,Abrocitinib,F00105,High-Fat Meal,Food,Use caution,abrocitinib [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"No clinically relevant effect on abrocitinib exposures (AUC and Cmax of abrocitinib increased by approximately 26% and 29%, respectively, and Tmax was prolonged by 2 hours)",Administer CIBINQO with or without food at approximately the same time each day.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/213871s000lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,2,1,0,0,Calibrated balanced mode,,,
D00597__H00329,D00597,Atorvastatin,H00329,Ramulus Euonymi,Herb,Use caution,atorvastatin [SEP] ramulus euonymi [SEP] herb,No known interaction in selected source,Possible,Possible,No Effect; Possible,"Single group study(ATV) : Cmax (ng/ml) = 54.15 ± 29.11,AUC0‐inf (ng·h/ml) = 170.38 ± 69.72,Tmax (h) = 1.15 ± 1.89,t ½ (h) = 3.02 ± 1.91; Combined group study(ATV) : Cmax (ng/ml,p < 0.05) = 388.17 ± 260.99,AUC0‐inf (ng·h/ml,p < 0.05) = 688.16 ± 433.28,Tmax (h) = 0.67 ± 0.38,t ½ (h) = 1.40 ± 0.68; Single group study(2-ATV) : Cmax (ng/ml) = 33.35 ± 16.34,AUC0‐inf (ng·h/ml) = 252.78 ± 75.01,Tmax (h) = 3.17 ± 2.04,t ½ (h) = 5.18 ± 2.83; Combined group study(2-ATV) : Cmax (ng/ml,p < 0.05) = 385.58 ± 219.10,AUC0‐inf (ng·h/ml,p < 0.05) = 1215.90 ± 571.09,Tmax (h) = 1.17 ± 0.41,t ½ (h) = 3.79 ± 3.15","The Cmax and AUC(0–48) of ATV and 2-ATV improved significantly in the combined group, which revealed that NG could increase their bioavailability in vivo, compared to that observed upon administration of ATV alone. However, ATV did not affect the pharmacokinetic parameters of NG after co-administration with ATV.",36189913.0,"Development of a UPLC-MS/MS method for the simultaneous determination of atorvastatin, 2-hydroxy atorvastatin, and naringenin in rat plasma and its application to pharmacokinetic interaction studies",10.1002/bmc.5515,HFDI,HFDI,3,2,1,1,Calibrated balanced mode,,,
D00532__F00104,D00532,Pivampicillin,F00104,Meal,Food,Use caution,pivampicillin [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,The absorption is unaffected by food.,Take with or without food.,,https://go.drugbank.com/drugs/DB01604,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode,,,
D00597__H00325,D00597,Atorvastatin,H00325,Fructus Choerospondiatis,Herb,Use caution,atorvastatin [SEP] fructus choerospondiatis [SEP] herb,No known interaction in selected source,Possible,Possible,No Effect; Possible,"Single group study(ATV) : Cmax (ng/ml) = 54.15 ± 29.11,AUC0‐inf (ng·h/ml) = 170.38 ± 69.72,Tmax (h) = 1.15 ± 1.89,t ½ (h) = 3.02 ± 1.91; Combined group study(ATV) : Cmax (ng/ml,p < 0.05) = 388.17 ± 260.99,AUC0‐inf (ng·h/ml,p < 0.05) = 688.16 ± 433.28,Tmax (h) = 0.67 ± 0.38,t ½ (h) = 1.40 ± 0.68; Single group study(2-ATV) : Cmax (ng/ml) = 33.35 ± 16.34,AUC0‐inf (ng·h/ml) = 252.78 ± 75.01,Tmax (h) = 3.17 ± 2.04,t ½ (h) = 5.18 ± 2.83; Combined group study(2-ATV) : Cmax (ng/ml,p < 0.05) = 385.58 ± 219.10,AUC0‐inf (ng·h/ml,p < 0.05) = 1215.90 ± 571.09,Tmax (h) = 1.17 ± 0.41,t ½ (h) = 3.79 ± 3.15","The Cmax and AUC(0–48) of ATV and 2-ATV improved significantly in the combined group, which revealed that NG could increase their bioavailability in vivo, compared to that observed upon administration of ATV alone. However, ATV did not affect the pharmacokinetic parameters of NG after co-administration with ATV.",36189913.0,"Development of a UPLC-MS/MS method for the simultaneous determination of atorvastatin, 2-hydroxy atorvastatin, and naringenin in rat plasma and its application to pharmacokinetic interaction studies",10.1002/bmc.5515,HFDI,HFDI,3,2,1,1,Calibrated balanced mode,,,
D00261__F00104,D00261,Nilvadipine,F00104,Meal,Food,Use caution,nilvadipine [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Take with or without food.,Take with or without food.,,https://go.drugbank.com/drugs/DB06712,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode,,,
D00424__F00104,D00424,Cloxacillin,F00104,Meal,Food,Use caution,cloxacillin [SEP] meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,Food delays the absorption of cloxacillin sodium.cloxacillin.,Take on an empty stomach. Orally administered cloxacillin should be taken 1-2 hours prior to meals as the presence of food in the stomach and intestine reduces drug absorption.,,https://pdf.hres.ca/dpd_pm/00055444.PDF,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode,,,
D00608__F00104,D00608,Capecitabine,F00104,Meal,Food,Use caution,capecitabine [SEP] meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,"Following administration of a meal the mean Cmax and AUC0-INF of capecitabine was decreased by 60% and 34%, respectively. The mean Cmax and AUC0-INF of fluorouracil were also decreased by 37 % and 12%, respectively. The Tmax of both capecitabine and fluorouracil was delayed by 1.5 hours.",Take with water within 30 minutes after a meal.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020896s044s051lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode,,,
D00993__F00105,D00993,Ganaxolone,F00105,High-Fat Meal,Food,Use caution,ganaxolone [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"When ZTALMY was administered with a high-fat meal, the Cmax and AUC increased by 3- and 2-fold, respectively, when compared to administration under fasted conditions.",Taken with food.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/215904s000lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode,,,
D01072__F00105,D01072,Lurasidone,F00105,High-Fat Meal,Food,Use caution,lurasidone [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,The geometric mean Cmax in the fasted state was 56.7 ng/mL compared with 123.0 ng/mL for the 800- to 1000-kcal meal; mean AUC0-tau was 360.0 versus 752.4 ng·h/mL (both p < 0.001). Lurasidone exposure following meals containing 100 and 200 kcal was substantially lower than with meals containing 800-1000 kcal.,Lurasidone should be administered with food to ensure maximum exposure.,24014143.0,"Effect of food on the pharmacokinetics of lurasidone: results of two randomized, open-label, crossover studies",10.1002/hup.2338,Dietary effects,Dietary Effect-Package Insert; Dietary effects,5,1,0,0,Calibrated balanced mode,,,
D00597__H00162,D00597,Atorvastatin,H00162,Coffee,Herb,Use caution,atorvastatin [SEP] coffee [SEP] herb,No known interaction in selected source,Possible,Possible,Possible,"Infarct size was significantly reduced by ATV in the water + sugar (11.7 ± 0.7%, p = 0.015) and DC (11.5 ± 1.0%; p < 0.001) groups, but not in the CC group (32.3 ± 3.0%; p = 0.719). ATV increased myocardial levels of Ser-473 phosphorylated Akt in the water + sugar and DC groups, but not in the CC group.","Caffeinated coffee, but not decaffeinated coffee, abrogated the IS-limiting effects of ATV by blocking the adenosine receptors and preventing the phosphorylation of Akt.",18327703.0,Caffeinated coffee blunts the myocardial protective effects of statins against ischemia-reperfusion injury in the rat,10.1007/s10557-008-6105-z,HFDI,HFDI,1,1,0,0,Calibrated balanced mode,,,
D00056__F00104,D00056,Bethanechol,F00104,Meal,Food,Use caution,bethanechol [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Nausea and vomiting may occur if taken after food.,Take on an empty stomach. Nausea and vomiting may occur if taken after food.,,https://go.drugbank.com/drugs/DB01019,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode,,,
D00003__F00104,D00003,Activated Charcoal,F00104,Meal,Food,Use caution,activated charcoal [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Take with or without food. Give a higher dose of activated charcoal if it is administered after a large meal.,Take with or without food.,,https://go.drugbank.com/drugs/DB09278,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode,,,
D00972__F00105,D00972,Everolimus,F00105,High-Fat Meal,Food,Use caution,everolimus [SEP] high-fat meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative; No Effect,Reduced systemic exposure to AFINITOR 10 mg (as measured by AUC) by 22% and the peak blood concentration Cmax by 54%.,Take with or without food. Take consistently with regard to food as food may reduce the AUC and Cmax of everolimus.,,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022334s044,203985s016lbl.pdf",,Dietary Effect-Package Insert,Dietary Effect-Package Insert; Dietary effects,3,2,1,1,Calibrated balanced mode,,,
D00976__F00116,D00976,Rilpivirine,F00116,Standard Meal,Food,Use caution,rilpivirine [SEP] standard meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,The least-squares mean ratio for area under the plasma concentration-time curve to last timepoint was 0.57 (90% confidence interval [CI]: 0.46-0.72) under fasting conditions compared to dosing with a normal-fat breakfast.,Rilpivirine bioavailability was similar when administered with a high-fat or normal-fat breakfast. Rilpivirine should always be taken with a meal to ensure adequate bioavailability.,23720136.0,Impact of food and different meal types on the pharmacokinetics of rilpivirine,10.1002/jcph.107,Dietary effects,Dietary Effect-Package Insert; Dietary effects,2,1,0,0,Calibrated balanced mode,,,
D01173__F00105,D01173,Icotinib,F00105,High-Fat Meal,Food,Use caution,icotinib [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"After dosing 400 mg of Icotinib with high-fat and high-calorie meal, mean Cmax and AUC were significantly increased by 59 and 79 %, respectively.",Food intake significantly increased the absorption and exposure of Icotinib in healthy subjects.,24488324.0,"Clinical pharmacokinetics of Icotinib, an anti-cancer drug: evaluation of dose proportionality, food effect, and tolerability in healthy subjects",10.1007/s00280-014-2398-8,Dietary effects,Dietary effects,1,1,0,0,Calibrated balanced mode,,,
D00055__F00104,D00055,Betaxolol,F00104,Meal,Food,Use caution,betaxolol [SEP] meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,Absolute bioavailability of 89% ± 5% that is unaffected by the concomitant ingestion of food or alcohol.,Take with or without food.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2011/019507s008lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode,,,
D00597__H00567,D00597,Atorvastatin,H00567,Herba Ephedrae,Herb,Use caution,atorvastatin [SEP] herba ephedrae [SEP] herb,No known interaction in selected source,Possible,Possible,No Effect; Possible,"Single group study(ATV) : Cmax (ng/ml) = 54.15 ± 29.11,AUC0‐inf (ng·h/ml) = 170.38 ± 69.72,Tmax (h) = 1.15 ± 1.89,t ½ (h) = 3.02 ± 1.91; Combined group study(ATV) : Cmax (ng/ml,p < 0.05) = 388.17 ± 260.99,AUC0‐inf (ng·h/ml,p < 0.05) = 688.16 ± 433.28,Tmax (h) = 0.67 ± 0.38,t ½ (h) = 1.40 ± 0.68; Single group study(2-ATV) : Cmax (ng/ml) = 33.35 ± 16.34,AUC0‐inf (ng·h/ml) = 252.78 ± 75.01,Tmax (h) = 3.17 ± 2.04,t ½ (h) = 5.18 ± 2.83; Combined group study(2-ATV) : Cmax (ng/ml,p < 0.05) = 385.58 ± 219.10,AUC0‐inf (ng·h/ml,p < 0.05) = 1215.90 ± 571.09,Tmax (h) = 1.17 ± 0.41,t ½ (h) = 3.79 ± 3.15","The Cmax and AUC(0–48) of ATV and 2-ATV improved significantly in the combined group, which revealed that NG could increase their bioavailability in vivo, compared to that observed upon administration of ATV alone. However, ATV did not affect the pharmacokinetic parameters of NG after co-administration with ATV.",36189913.0,"Development of a UPLC-MS/MS method for the simultaneous determination of atorvastatin, 2-hydroxy atorvastatin, and naringenin in rat plasma and its application to pharmacokinetic interaction studies",10.1002/bmc.5515,HFDI,HFDI,3,2,1,1,Calibrated balanced mode,,,
D01132__F00105,D01132,Vismodegib,F00105,High-Fat Meal,Food,Use caution,vismodegib [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"Mean C(max) and AUC(0-168) after a single dose were higher in HF than FO patients [ratios of geometric means (90% CI) = 1.75 (1.30, 2.34) and 1.74 (1.25, 2.42), respectively].","A HF meal increases plasma exposure to a single dose of vismodegib, but there are no pharmacokinetic or safety differences between fasting and fed groups at steady-state. Vismodegib may be taken with or without food for daily dosing.",23553850.0,Evaluation of food effect on pharmacokinetics of vismodegib in advanced solid tumor patients,10.1158/1078-0432.CCR-12-3829,Dietary effects,Dietary effects,1,1,0,0,Calibrated balanced mode,,,
D00597__H00700,D00597,Atorvastatin,H00700,Pericarpium Citri Reticulatae Viride,Herb,Use caution,atorvastatin [SEP] pericarpium citri reticulatae viride [SEP] herb,No known interaction in selected source,Possible,Possible,Possible,"Single group study(ATV) : Cmax (ng/ml) = 54.15 ± 29.11,AUC0‐inf (ng·h/ml) = 170.38 ± 69.72,Tmax (h) = 1.15 ± 1.89,t ½ (h) = 3.02 ± 1.91; Combined group study(ATV) : Cmax (ng/ml,p < 0.05) = 388.17 ± 260.99,AUC0‐inf (ng·h/ml,p < 0.05) = 688.16 ± 433.28,Tmax (h) = 0.67 ± 0.38,t ½ (h) = 1.40 ± 0.68; Single group study(2-ATV) : Cmax (ng/ml) = 33.35 ± 16.34,AUC0‐inf (ng·h/ml) = 252.78 ± 75.01,Tmax (h) = 3.17 ± 2.04,t ½ (h) = 5.18 ± 2.83; Combined group study(2-ATV) : Cmax (ng/ml,p < 0.05) = 385.58 ± 219.10,AUC0‐inf (ng·h/ml,p < 0.05) = 1215.90 ± 571.09,Tmax (h) = 1.17 ± 0.41,t ½ (h) = 3.79 ± 3.15","The Cmax and AUC(0–48) of ATV and 2-ATV improved significantly in the combined group, which revealed that NG could increase their bioavailability in vivo, compared to that observed upon administration of ATV alone. However, ATV did not affect the pharmacokinetic parameters of NG after co-administration with ATV.",36189913.0,"Development of a UPLC-MS/MS method for the simultaneous determination of atorvastatin, 2-hydroxy atorvastatin, and naringenin in rat plasma and its application to pharmacokinetic interaction studies",10.1002/bmc.5515,HFDI,HFDI,1,1,0,0,Calibrated balanced mode,,,
D00106__F00104,D00106,Cyclandelate,F00104,Meal,Food,Use caution,cyclandelate [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Food reduces irritation.,Take with food.,,https://go.drugbank.com/drugs/DB04838,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode,,,
D00906__F00104,D00906,Naloxone,F00104,Meal,Food,Use caution,naloxone [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,"When formulated as a buccal film or sublingual form, avoid eating or drinking until the film has completely dissolved.","Take separate from meals. When formulated as a buccal film or sublingual form, avoid eating or drinking until the film has completely dissolved.",,https://go.drugbank.com/drugs/DB01183,,Drugbank,Dietary Effect-Package Insert; Drugbank,2,1,0,0,Calibrated balanced mode,,,
D01278__F00105,D01278,Omaveloxolone,F00105,High-Fat Meal,Food,Use caution,omaveloxolone [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"Omaveloxolone Cmax and AUC0-inf increased by approximately 350% and 15%, respectively, with a high-fat meal.",Administer SKYCLARYS on an empty stomach at least one hour before eating,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216718Orig1s000lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode,,,
D00365__F00105,D00365,Ticlopidine,F00105,High-Fat Meal,Food,Use caution,ticlopidine [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,No Effect; Positive,Take with a high fat meal. High fat meals will increase ticlopidine absorption.,Take with food. Food can help ticlopidine-induced stomach upset.,,https://go.drugbank.com/drugs/DB00208,,Drugbank,Dietary effects; Drugbank,2,2,1,1,Calibrated balanced mode,,,
D00976__F00105,D00976,Rilpivirine,F00105,High-Fat Meal,Food,Use caution,rilpivirine [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"With a high-fat breakfast or only a protein-rich nutritional drink, the corresponding values were 0.92 (90% CI: 0.80-1.07), compared to dosing with a normal-fat breakfast.",Rilpivirine bioavailability was similar when administered with a high-fat or normal-fat breakfast. Rilpivirine should always be taken with a meal to ensure adequate bioavailability.,23720136.0,Impact of food and different meal types on the pharmacokinetics of rilpivirine,10.1002/jcph.107,Dietary effects,Dietary Effect-Package Insert; Dietary effects,4,1,0,0,Calibrated balanced mode,,,
D00825__F00104,D00825,Tioguanine,F00104,Meal,Food,Use caution,tioguanine [SEP] meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,Food intake may lower tioguanine serum levels.,Take with or without food.,,https://go.drugbank.com/drugs/DB00352,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode,,,
D00813__F00104,D00813,Chlorprothixene,F00104,Meal,Food,Use caution,chlorprothixene [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Food reduces irritation.,Take with food.,,https://go.drugbank.com/drugs/DB01239,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode,,,
D00488__F00104,D00488,Hydrogen Fluoride,F00104,Meal,Food,Use caution,hydrogen fluoride [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Avoid eating or drinking for at least 30 minutes after applying hydrogen fluoride oral dental gel.,Take separate from meals.,,https://go.drugbank.com/drugs/DB11072,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode,,,
D01294__F00104,D01294,Voxilaprevir,F00104,Meal,Food,Use caution,voxilaprevir [SEP] meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,Geometric mean systemic exposure = 2.12–5.35,Taken orally once daily with food.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/209195s004lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode,,,
D00716__F00105,D00716,Lactitol,F00105,High-Fat Meal,Food,Use caution,lactitol [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,Cmax and AUC values increase greater than 2-fold under fasted conditions compared to fed conditions.,Take with food. The manufacturer recommends administration with meals.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/211281s000lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode,,,
D00571__F00104,D00571,Lovastatin,F00104,Meal,Food,Use caution,lovastatin [SEP] meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,Food increases bioavailability.,Take with food. Food reduces irritation and increases bioavailability.,,https://go.drugbank.com/drugs/DB00227,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode,,,
D00206__F00104,D00206,Labetalol,F00104,Meal,Food,Use caution,labetalol [SEP] meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,The absolute bioavailability of labetalol is increased when administered with food.,Take with or without food,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2010/018716s026lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode,,,
D00586__F00105,D00586,Exemestane,F00105,High-Fat Meal,Food,Use caution,exemestane [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"Fed study : Cmax (ng/mL) = 17.7 ± 4.5,Tmax (h) = 1.88 ± 0.5,AUC0‐inf (ng.h/mL) = 41.3 ± 3.4; Fasted study : Cmax (ng/mL) = 11.1 ± 1.3,Tmax (h) = 0.97 ± 0.28,AUC0‐inf (ng.h/mL)) = 29.7 ± 2.2",Take with food. The manufacturer recommends administration following a meal.,15752382.0,A predictive model for exemestane pharmacokinetics/pharmacodynamics incorporating the effect of food and formulation,10.1111/j.1365-2125.2005.02335.x,Dietary effects,Dietary Effect-Package Insert; Dietary effects,2,1,0,0,Calibrated balanced mode,,,
D00461__F00104,D00461,Methysergide,F00104,Meal,Food,Use caution,methysergide [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Food reduces irritation.,Take with food. Drink plenty of fluids.,,https://go.drugbank.com/drugs/DB00247,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode,,,
D00422__F00105,D00422,Cysteamine,F00105,High-Fat Meal,Food,Use caution,cysteamine [SEP] high-fat meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,"An exploratory trial shows that food can reduce the systemic exposure of cysteamine, therefore, it is recommended that PROCYSBI be administered at least 30 minutes before or 2 hours after a meal with a high-fat meal.",Take on an empty stomach. The delayed-release capsules should be taken at least 30 minutes before or 2 hours after a high-fat meal to ensure adequate exposure.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/203389s000lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode,,,
D00321__F00105,D00321,Propafenone,F00105,High-Fat Meal,Food,Use caution,propafenone [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"Food increased peak blood level and bioavailability in a single-dose trial, during multiple-dose administration of propafenone to healthy volunteers, food did not change bioavailability significantly.",Take with or without food. Take consistently at the same time in regard to meals.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/019151s015lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode,,,
D00815__F00104,D00815,Mercaptopurine,F00104,Meal,Food,Use caution,mercaptopurine [SEP] meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,Food has been shown to decrease the exposure of mercaptopurine.,Take with or without food.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/009053s040lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode,,,
D00282__F00105,D00282,Guanfacine,F00105,High-Fat Meal,Food,Use caution,guanfacine [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,The mean exposure increased (Cmax approximately 75% and AUC approximately 40%) compared to dosing in a fasted state.,"Do not administer with high-fat meals, because of increased exposure.",,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022037s018lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode,,,
D00597__H00088,D00597,Atorvastatin,H00088,herba Menthae,Herb,Use caution,atorvastatin [SEP] herba menthae [SEP] herb,No known interaction in selected source,Possible,Possible,Possible,"Single group study(ATV) : Cmax (ng/ml) = 54.15 ± 29.11,AUC0‐inf (ng·h/ml) = 170.38 ± 69.72,Tmax (h) = 1.15 ± 1.89,t ½ (h) = 3.02 ± 1.91; Combined group study(ATV) : Cmax (ng/ml,p < 0.05) = 388.17 ± 260.99,AUC0‐inf (ng·h/ml,p < 0.05) = 688.16 ± 433.28,Tmax (h) = 0.67 ± 0.38,t ½ (h) = 1.40 ± 0.68; Single group study(2-ATV) : Cmax (ng/ml) = 33.35 ± 16.34,AUC0‐inf (ng·h/ml) = 252.78 ± 75.01,Tmax (h) = 3.17 ± 2.04,t ½ (h) = 5.18 ± 2.83; Combined group study(2-ATV) : Cmax (ng/ml,p < 0.05) = 385.58 ± 219.10,AUC0‐inf (ng·h/ml,p < 0.05) = 1215.90 ± 571.09,Tmax (h) = 1.17 ± 0.41,t ½ (h) = 3.79 ± 3.15","The Cmax and AUC(0–48) of ATV and 2-ATV improved significantly in the combined group, which revealed that NG could increase their bioavailability in vivo, compared to that observed upon administration of ATV alone. However, ATV did not affect the pharmacokinetic parameters of NG after co-administration with ATV.",36189913.0,"Development of a UPLC-MS/MS method for the simultaneous determination of atorvastatin, 2-hydroxy atorvastatin, and naringenin in rat plasma and its application to pharmacokinetic interaction studies",10.1002/bmc.5515,HFDI,HFDI,1,1,0,0,Calibrated balanced mode,,,
D00331__F00105,D00331,Raloxifene,F00105,High-Fat Meal,Food,Use caution,raloxifene [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"Increases the absorption of raloxifene (Cmax 28% and AUC 16%), but does not lead to clinically meaningful changes in systemic exposure. E","The recommended dosage is one 60 mg EVISTA (raloxifene hydrochloride tablets) tablet daily, which may be administered any time of day without regard to meals.",,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020815s034lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode,,,
D00684__F00105,D00684,Desloratadine,F00105,High-Fat Meal,Food,Use caution,desloratadine [SEP] high-fat meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative; No Effect,Administration in a fed state resulted in 34.07 and 32.06 % decreases in maximum plasma concentration and area under the concentration-time curve from time zero to infinity for desloratadine and 47.26 and 48.46 % for 3-OH-desloratadine compared with those values under fasting conditions.,Chinese population was low and that food intake could significantly decrease the absorption rate and extent of desloratadine.,26446005.0,Prevalence of Desloratadine Slow-metabolizer Phenotype and Food-dependent Pharmacokinetics of Desloratadine in Healthy Chinese Volunteers,10.1007/s40261-015-0343-1,Dietary effects,Dietary effects,2,2,1,1,Calibrated balanced mode,,,
D00187__F00103,D00187,Ibuprofen,F00103,Alcohol,Food,Use caution,ibuprofen [SEP] alcohol [SEP] food,No known interaction in selected source,Possible,Possible,Possible,The chance of a person getting an ulcer or bleeding increases with drinking alcohol.,Avoid alcohol.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2007/017463s105lbl.pdf,,FDI-Package Insert,FDI-Package Insert,1,1,0,0,Calibrated balanced mode,,,
D01485__F00104,D01485,Cedazuridine,F00104,Meal,Food,Use caution,cedazuridine [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,,Do not consume food 2 hours before and 2 hours after each dose,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/212576s003lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode,,,
D01114__F00104,D01114,Liraglutide,F00104,Meal,Food,Use caution,liraglutide [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Take with or without food.,Take with or without food.,,https://go.drugbank.com/drugs/DB06655,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode,,,
D00547__F00104,D00547,Cefradine,F00104,Meal,Food,Use caution,cefradine [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Take with or without food.,Take with or without food.,,https://go.drugbank.com/drugs/DB01333,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode,,,
D01269__F00105,D01269,Selinexor,F00105,High-Fat Meal,Food,Use caution,selinexor [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,No Effect; Positive,High-fat meal did not affect the pharmacokinetics of selinexor to a clinically significant extent.,Take with or without food,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/212306s001lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert; Dietary effects,3,2,1,1,Calibrated balanced mode,,,
